ID,景點名稱,縣市區域,特色標籤,適合客群,屬性(難度/季節/時段/類型),永續指標,備註,分類
55,崇德海灣,花蓮縣秀林鄉,#清水斷崖 #日出秘境 #礫石海灘,攝影/登山/冒險,4-10月,眺望清水斷崖最佳點,,
56,石門麻糬洞,花蓮縣豐濱鄉,#海蝕洞 #電影取景地 #愛心洞口,攝影/情侶/文青,全年,電影《沉默》取景地,,
57,柴山秘境沙灘,高雄市鼓山區,#海蝕洞 #探險秘境 #礁岩沙灘,登山/冒險/情侶,10-4月,壽山國家自然公園,,
58,金沙灣海濱公園,新北市貢寮區,#親子戲水 #小眾沙灘 #潮間帶,親子/情侶,5-10月,東北角國家風景區,,
59,馬崗漁村潮間帶,新北市貢寮區,#台灣極東 #潮間帶生態 #石花菜,攝影/生態/文青,3-10月,台灣最東漁村,,
60,金樽海岸,台東縣東河鄉,#陸連島地形 #衝浪勝地 #原始沙灘,衝浪/攝影/情侶,全年,國際衝浪賽場地,,
61,富山護魚區,台東縣卑南鄉,#海洋保護區 #潮間帶生態 #禁漁區,親子/生態/潛水,全年,生態復育成功案例,,
62,三峽藍染工坊,新北市三峽區,#傳統藍染 #植物染料 #百年技藝,文青/親子/情侶,DIY工作坊,傳統技藝復興,,
63,卓也小屋藍染園區,苗栗縣三義鄉,#客家工藝 #生態園區 #慢活體驗,文青/親子/銀髮,DIY/住宿,客家文化保存,,
64,大禾竹藝工坊,南投縣竹山鎮,#竹編工藝 #在地素材 #職人精神,文青/設計愛好者,參觀/工作坊,永續材料運用,,
65,布農部落休閒農場,台東縣延平鄉,#布農文化 #八部合音 #有機農場,親子/銀髮/文化,表演/農事體驗,原住民文化傳承,,
66,銅門部落山刀工藝,花蓮縣秀林鄉,#太魯閣族 #山刀工藝 #獵人文化,登山/冒險/攝影,導覽/DIY,傳統技藝傳承,,
67,都歷部落月桃編織,台東縣成功鎮,#阿美族 #月桃編織 #海洋文化,文青/攝影/衝浪,工作坊/衝浪,海洋生態保育,,
68,台東北町日式宿舍群,台東縣台東市,#日式建築 #時代遺產 #慢活街區,文青/攝影/銀髮,自由參觀,歷史建築保存,,
69,台灣文學基地,台北市中正區,#日式老宅 #文學藝術 #城市秘境,文青/情侶/攝影,參觀/展覽,文化資產活化,,
70,佳冬蕭宅,屏東縣佳冬鄉,#閩南建築 #五落大厝 #客家文化,歷史愛好者/攝影,參觀/導覽,200年歷史建築,,
71,摘星山莊,台中市潭子區,#閩南古厝 #縣定古蹟 #文創進駐,文青/攝影/銀髮,參觀/文創,古蹟活化再利用,,
72,芹壁聚落,連江縣北竿鄉,#閩東建築 #石頭屋 #海景聚落,攝影/情侶/文青,住宿/漫步,台灣地中海,,
73,玄空法寺,台南市楠西區,#日式禪風 #奇石庭園 #靈性秘境,銀髮/禪修/攝影,參觀/禪修,,,
74,萬佛寺小普陀山,台南市楠西區,#台版吳哥窟 #鐘乳石洞 #秘境寺廟,銀髮/攝影/家庭,參觀/導覽,,,
75,石門珊瑚貝殼廟,新北市石門區,#貝殼藝術 #海底龍宮 #特色廟宇,親子/攝影/情侶,參觀,,,
76,禪機山仙佛寺,南投縣國姓鄉,#唐風建築 #五百羅漢 #日式禪意,銀髮/攝影/文青,參觀/冥想,,,
77,中興文化創意園區,宜蘭縣五結鄉,#產業遺址活化 #文創園區 #廢墟美學,文青/親子/攝影,參觀/展覽,工業遺產再利用,,
78,永達煤礦遺址,新北市三峽區,#礦業遺產 #廢墟攝影 #賞螢秘境,攝影/登山/探險,探索/賞螢,礦業文化記憶,,
79,西螺戲院,雲林縣西螺鎮,#老戲院 #時代記憶 #廢墟美學,攝影/探險/文史,參觀/攝影,娛樂產業見證,,
80,卓也小屋,苗栗縣三義鄉,#藍染DIY #螢火蟲季 #穀倉民宿,情侶/親子/文青,藍染/住宿,地方創生,,
81,君達休閒農場,花蓮縣吉安鄉,#有機香草 #芳療體驗 #深度療癒,情侶/銀髮/療癒,香草導覽/芳療,有機認證、無毒栽培,,
82,三富休閒農場,宜蘭縣冬山鄉,#無蚊園區 #清水模建築 #生態友善,親子/攝影/自然,生態導覽/住宿,生態友善、農村再生,,
83,佳芳休閒農場,台東縣卑南鄉,#紅烏龍 #採茶體驗 #茶蛋捲DIY,親子/文青/茶葉,採茶/製茶/DIY,有機栽培,,
84,亞植有機農場,桃園市楊梅區,#雞菜共生 #有機放牧蛋 #循環農業,親子/學校團體,食農體驗,有機認證、循環經濟,,
85,小瓢蟲有機農場,台中市東勢區,#有機蔬菜 #田園餐桌 #親子農事,親子/學校教學,採菜/餵雞/DIY,有機認證、友善農法,,
86,坪林南山寺茶園秘境,新北市坪林區,#雲海秘境 #包種茶 #茶園散步,攝影/文青/登山,品茗/觀雲海,秋冬雲海,,
87,世芳有機茶園,新北市坪林區,#有機茶園 #一日茶農 #茶粿DIY,親子/校園團體,採茶/製茶/DIY,有機認證,,
88,山中茶學,南投縣鹿谷鄉,#凍頂烏龍 #茶摘體驗 #茶香枕,茶葉愛好者/文青,採茶/製茶/DIY,,,
89,初鄉茶間,南投縣鹿谷鄉,#三合院茶餐 #茶罐壓花 #茶香皂,親子/團體/情侶,品茗/茶餐/DIY,,,
90,苗栗銅鑼茶廠,苗栗縣銅鑼鄉,#景觀茶園 #製茶參觀 #私房秘境,情侶/攝影/文青,製茶參觀/品茗,,,
91,馬崗漁村,新北市貢寮區,#極東漁村 #海女文化 #石頭屋,攝影/文青/銀髮,導覽/石花凍DIY,傳統漁法保存,,
92,卯澳灣漁村,新北市貢寮區,#石頭古厝 #傳統漁法 #潮間帶,單車/文青/攝影,導覽/風味餐,傳統建築保存,,
93,長潭里漁港,基隆市中正區,#彩色漁港 #鎖管季 #海上生態,攝影/親子/情侶,漁港巡遊/料理,國際景觀卓越賞,,
94,白水湖聚落,嘉義縣東石鄉,#地層下陷 #廢墟美學 #蚵田風光,攝影/文青/深度,聚落散步/攝影,環境變遷紀錄,,
95,山海漁港（後灣）,屏東縣車城鄉,#恆春秘境 #希臘風情 #慵懶漁村,情侶/攝影/慢活,漁村散步/水上,傳統漁村保存,,
96,新社海梯田,花蓮縣豐濱鄉,#海梯田 #噶瑪蘭族 #大地藝術節,攝影/單車/文青,田園散步/導覽,原民文化、友善耕作,,
97,貢寮和禾水梯田,新北市貢寮區,#水梯田復育 #里山生態 #和禾米香,生態/親子/銀髮,田野體驗/觀察,農村再生、生態復育,,
98,吉哈拉艾文化景觀,花蓮縣富里鄉,#百年水圳 #阿美族部落 #里山文化,深度旅遊/生態,部落小旅行,台灣首個梯田文化景觀,,
99,金山八煙聚落,新北市金山區,#水梯田 #石砌屋 #魚路古道,登山/攝影/文青,古道健行/散步,水梯田濕地復育,,
100,0KM山物所,大安區金山南路,#預約制 #和式老屋 #城市綠洲,文青/情侶/攝影,下午預約,需事先預約,,
101,碧山露營場S型天空步道,內湖區碧山路,#天空步道 #免費景點 #台北夜景,親子/登山/攝影,傍晚至夜晚,2022年開放,,
102,藍寶石泉,士林區陽明山,#預約制 #限量名額 #自然秘境,攝影/登山/自然,預約時段,需預約台北自來水處,,
103,榕錦時光生活園區,大安區金華街,#古蹟活化 #文創空間 #老屋新生,文青/情侶/銀髮,假日午後,刑務所官舍改建,,
104,雙溪濕地公園,士林區承德路,#水中步道 #生態公園 #濕地生態,親子/攝影/銀髮,黃昏時分,2022年開放,,
105,下罟子漁港,八里區,#隱藏版漁港 #八里秘境 #純樸漁村,攝影/文青/情侶,清晨或傍晚,,,
106,坪林貴妃池,坪林區金瓜寮溪,#溪水秘境 #夏日消暑 #茶鄉秘境,親子/情侶/登山,夏季午後,,,
107,一滴水紀念館,淡水區和平公園,#日式建築 #免費景點 #文化遺產,文青/攝影/銀髮,平日午後,,,
108,濛濛谷,新店區頂石厝路,#戀愛聖地 #湖光山色 #私房景點,情侶/攝影/登山,煙雨濛濛時,,,
109,文化部文化資產園區,南區復興路,#老酒廠 #文創園區 #歷史建築,文青/親子/攝影,全天,工業遺址活化,,
110,審計新村,西區民生路,#眷村改造 #文創聚落 #假日市集,文青/情侶/攝影,週末市集,青年創業基地,,
111,九天黑森林,沙鹿區,#魔幻森林 #婚紗秘境 #深色森林,攝影/情侶/文青,清晨或傍晚,自然生態,,
112,PARK2草悟廣場,西區英才路,#都市綠洲 #複合空間 #植栽設計,文青/情侶/上班族,全天,都市綠化,,
113,金馬賓館當代美術館,鼓山區,#軍事建築活化 #當代藝術 #高端午茶,文青/藝術/情侶,下午時段,歷史建築再利用,,
114,柴山海蝕洞,鼓山區柴山,#海蝕奇景 #IG熱點 #秘境探險,攝影/冒險/情侶,退潮時刻,自然地質保護,,
115,果貿新村,左營區,#眷村 #小香港 #復古建築,文青/攝影/懷舊,全天,眷村文化保存,,
116,旗津星空隧道,旗津區,#軍事隧道 #浪漫星空 #海景秘境,情侶/親子/攝影,夜間,軍事空間再利用,,
117,秘氏咖啡,中西區永樂市場2樓,#港風秘境 #老市場樓上 #懷舊咖啡,文青/情侶/攝影,下午,1960年代老香港風格,,
118,窄門咖啡館,中西區南門路,#百年老屋 #窄門入口 #歷史空間,文青/攝影/情侶,下午,台南經典老屋咖啡,,
119,南埕衖事,中西區,#建築大師設計 #垂直巷弄 #網美打卡,文青/網美/情侶,全天,藤本壯介設計,,
120,星巴克洄瀾門市,花蓮縣吉安鄉,#綠建築 #貨櫃咖啡 #建築大師,建築/攝影/文青,全天,貨櫃回收再利用、綠建築,,
121,台灣花磚博物館,嘉義市西區,#花磚保存 #日式老建築 #文化傳承,文青/文化/攝影,全天,文化資產搶救保存,,
